"Image","Name","Price","Discount","Rating"
"https://images.meesho.com/images/products/62018818/iyuee_512.jpg","9 Impression Women Grey Asymmetric Multicolor Dress","₹567","15%","NULL"
"https://images.meesho.com/images/products/62734798/uiuv7_512.jpg","stylish woollen Sweater Fie Women","₹433","19%","3.7"
"https://images.meesho.com/images/products/62738945/7su5t_512.jpg","Pretty Graceful Women Dresses","₹298","25%","3.6"
"https://images.meesho.com/images/products/62749732/nya6r_512.jpg","R K Textiles women Dress","₹367","21%","3.8"
"https://images.meesho.com/images/products/62754381/jgk4x_512.jpg","Raas Prêt Women's Dark Purple Crepe One Shoulder Maxi Gown Dress","₹678","13%","4.1"
"https://images.meesho.com/images/products/62122895/akv1m_512.jpg","LELA Women Grey Maxi Shirt Dress","₹4840","2%","NULL"
"https://images.meesho.com/images/products/62768849/c5nec_512.jpg","WHITE SHINY CRIS CROS BACK DRESS","₹489","17%","3.5"
"https://images.meesho.com/images/products/62751383/5uw4g_512.jpg","Krish stylist woman dress","₹216","30%","3.8"
"https://images.meesho.com/images/products/62113069/vzcdk_512.jpg","Ladies designer dress","₹267","27%","NULL"
"https://images.meesho.com/images/products/62740993/o3jyf_512.jpg","Women Maxi Black, Red Dress","₹348","22%","4.1"
"https://images.meesho.com/images/products/62740987/idfdx_512.jpg","Women Maxi Blue, Red, Brown Dress","₹358","22%","4.1"
"https://images.meesho.com/images/products/62450534/xupwr_512.jpg","DRESSES","₹713","12%","2.8"
"https://images.meesho.com/images/products/61978638/xjkbd_512.jpg","TSM Sophia Dress","₹1067","9%","NULL"
"https://images.meesho.com/images/products/62135572/4oogm_512.jpg","Fancy Latest Women Dresses","₹299","25%","3.7"
"https://images.meesho.com/images/products/61492271/hpxjj_512.jpg","Khodiyar Refined Digital Print Women Long Gown Dresses","₹517","16%","NULL"
"https://images.meesho.com/images/products/62735193/eewid_512.jpg","Classic Graceful Women Gown","₹317","24%","3.6"
"https://images.meesho.com/images/products/62048083/gc4mw_512.jpg","Denim Strap Dresses","₹1218","8%","NULL"
"https://images.meesho.com/images/products/62740983/6ov0x_512.jpg","Women A-line Black Dress","₹358","22%","4.1"
"https://images.meesho.com/images/products/62123360/mteca_512.jpg","Stylish Ravishing Women Dresses","₹299","25%","3.4"
"https://images.meesho.com/images/products/62740974/uucuf_512.jpg","Women Skater Black Dress","₹308","25%","4.1"
"https://images.meesho.com/images/products/62018814/j7npo_512.jpg","9 Impression Women Pink Asymmetric Multicolor Dress","₹567","15%","NULL"
"https://images.meesho.com/images/products/62756651/vuqko_512.jpg","siply dress with jacket","₹617","14%","NULL"
"https://images.meesho.com/images/products/62747863/k0crq_512.jpg","Denim one piece Dresses","₹495","17%","NULL"
"https://images.meesho.com/images/products/62759940/v2ojz_512.jpg","Trendy Ravishing Women Dresses","₹267","27%","3.8"
"https://images.meesho.com/images/products/62755066/gge4i_512.jpg","knee length dress for women","₹598","14%","4.1"
"https://images.meesho.com/images/products/62760846/7uhqs_512.jpg","RT-401 GREY RED LINE Dresses","₹278","26%","3.7"
"https://images.meesho.com/images/products/62761063/sluxp_512.jpg","Printed Designer Women Dresses","₹517","16%","3.6"
"https://images.meesho.com/images/products/62119974/mjten_512.jpg","Women's Western Party Wear Multicolor Fit And Flare Sleeveless (Inside Sleeve Attached) Black, Grey and Light Blue Dress(Combo Pack Of 3)","₹567","15%","3.8"
"https://images.meesho.com/images/products/62769916/gdbpx_512.jpg","Classic Designer Women Dresses","₹278","26%","3.7"
"https://images.meesho.com/images/products/62036578/6kswq_512.jpg","Dressarazzi  Women Peach Maxi Dress","₹456","18%","NULL"
"https://images.meesho.com/images/products/62740994/mgqij_512.jpg","Women Maxi Black Dress","₹328","23%","4.1"
"https://images.meesho.com/images/products/62002286/qsewa_512.jpg","TSM Lauren Dress","₹1267","7%","NULL"
"https://images.meesho.com/images/products/62033204/6vco1_512.jpg","white star 1 Dresses","₹267","27%","NULL"
"https://images.meesho.com/images/products/62741166/5xhqz_512.jpg","Aayu Women Maxi Maroon Dress","₹467","18%","3.3"
"https://images.meesho.com/images/products/62740980/lk0rn_512.jpg","Women Skater Maroon Dress","₹308","25%","4.1"
"https://images.meesho.com/images/products/61837625/bb7io_512.jpg","My Swag Women Multicolor Color Sheath Stripe Mini Dress","₹175","30%","4.2"
"https://images.meesho.com/images/products/62740976/scls4_512.jpg","Women Skater Black Dress","₹278","26%","4.1"
"https://images.meesho.com/images/products/62619382/s47lr_512.jpg","Trendy Feminine Women Dresses","₹263","28%","3.7"
"https://images.meesho.com/images/products/61980069/4vxqi_512.jpg","Trendy Partywear Women Dresses","₹818","11%","NULL"
"https://images.meesho.com/images/products/62739634/f5wz3_512.jpg","R K Textiles Women Dress","₹367","21%","3.8"
"https://images.meesho.com/images/products/62739313/iyixg_512.jpg","IDRISHI COLLECTION GOWNS","₹267","27%","3.5"
"https://images.meesho.com/images/products/62629369/2ya9f_512.jpg","sleeveless rayon maxi dress","₹303","25%","NULL"
"https://images.meesho.com/images/products/62737497/tdjz5_512.jpg","Ramoxo Red Dress for Women's","₹517","16%","NULL"
"https://images.meesho.com/images/products/62011334/8kdy7_512.jpg","Anshvi womens Printed Maxi dress","₹767","12%","NULL"
"https://images.meesho.com/images/products/62740999/7rvuf_512.jpg","DIGITAL","₹717","12%","NULL"
"https://images.meesho.com/images/products/62625807/5z7gj_512.jpg","Elegant One piece embroidered","₹1768","5%","NULL"
"https://images.meesho.com/images/products/62741882/mjumt_512.jpg","R.G.I COLLECTION DRESSES","₹208","30%","3.4"
"https://images.meesho.com/images/products/62748428/i1i1n_512.jpg","Trendy Elegant Women Dresses","₹368","21%","3.7"
"https://images.meesho.com/images/products/62744821/7hmtz_512.jpg","R K Textiles women Dress","₹367","21%","3.8"
"https://images.meesho.com/images/products/62734633/2qqul_512.jpg","Women High Low Dress","₹493","17%","NULL"
"https://images.meesho.com/images/products/62740985/9ig3n_512.jpg","Women Maxi Blue, White Gown","₹498","17%","4.1"
"https://images.meesho.com/images/products/61518187/guzx0_512.jpg","Mital Refined Digital Print Women Long Gown Dresses","₹517","16%","NULL"
"https://images.meesho.com/images/products/62740989/ay3am_512.jpg","Women Skater Black Dress","₹278","26%","4.1"
"https://images.meesho.com/images/products/62533358/he6ks_512.jpg","Midi Dress Multi Colors","₹393","20%","4.0"
"https://images.meesho.com/images/products/62383084/ox8ga_512.jpg","Printed dresses in cotton","₹450","18%","NULL"
"https://images.meesho.com/images/products/62046788/dufes_512.jpg","Stylish Elegant Women Dresses","₹1318","7%","3.5"
"https://images.meesho.com/images/products/62733650/lncex_512.jpg","R2D Women's & Girl's Bodycon Puff Sleeve Maxi Dress","₹338","23%","3.9"
"https://images.meesho.com/images/products/62598299/iw9mn_512.jpg","Fancy Designer Women Dresses","₹1263","7%","4.0"
"https://images.meesho.com/images/products/61950990/idz6a_512.jpg","Urbane Latest Women Dresses","₹364","22%","NULL"
"https://images.meesho.com/images/products/62541861/lseka_512.jpg","fancy black splits dress","₹397","20%","NULL"
"https://images.meesho.com/images/products/62021689/hazfx_512.jpg","dresses","₹267","27%","NULL"
"https://images.meesho.com/images/products/62495397/uscz2_512.jpg","Comfy Designer Women Dresses","₹800","11%","NULL"
"https://images.meesho.com/images/products/62516081/defn7_512.jpg","Classy Latest Women Dresses","₹417","19%","3.9"
